,title,description,search_term_tf_idf,search_term_bert
121,The Bridge on the Drina,"The town of Visegrad was long caught between the warring Ottoman and Austro-Hungarian Empires, but its sixteenth-century bridge survived unscathed--until 1914 when tensions in the Balkans triggered the first World War. Spanning generations, nationalities, and creeds, <i>The Bridge on the Drina</i> brilliantly illuminates a succession of lives that swirl around the majestic stone arches. Among them is that of the bridge's builder, a Serb kidnapped as a boy by the Ottomans; years later, as the empire's Grand Vezir, he decides to construct a bridge at the spot where he was parted from his mother. A workman named Radisav tries to hinder the construction, with horrific consequences. Later, the beautiful young Fata climbs the bridge's parapet to escape an arranged marriage, and, later still, an inveterate gambler named Milan risks everything on it in one final game with the devil. With humor and compassion, Ivo Andric chronicles the ordinary Catholics, Muslims, and Orthodox Christians whose lives are connected by the bridge, in a land that has itself been a bridge between East and West for centuries.",phoebe waller bridge,bridge
121,The Bridge on the Drina,"The town of Visegrad was long caught between the warring Ottoman and Austro-Hungarian Empires, but its sixteenth-century bridge survived unscathed--until 1914 when tensions in the Balkans triggered the first World War. Spanning generations, nationalities, and creeds, <i>The Bridge on the Drina</i> brilliantly illuminates a succession of lives that swirl around the majestic stone arches. Among them is that of the bridge's builder, a Serb kidnapped as a boy by the Ottomans; years later, as the empire's Grand Vezir, he decides to construct a bridge at the spot where he was parted from his mother. A workman named Radisav tries to hinder the construction, with horrific consequences. Later, the beautiful young Fata climbs the bridge's parapet to escape an arranged marriage, and, later still, an inveterate gambler named Milan risks everything on it in one final game with the devil. With humor and compassion, Ivo Andric chronicles the ordinary Catholics, Muslims, and Orthodox Christians whose lives are connected by the bridge, in a land that has itself been a bridge between East and West for centuries.",bridge,bridge
121,The Bridge on the Drina,"The town of Visegrad was long caught between the warring Ottoman and Austro-Hungarian Empires, but its sixteenth-century bridge survived unscathed--until 1914 when tensions in the Balkans triggered the first World War. Spanning generations, nationalities, and creeds, <i>The Bridge on the Drina</i> brilliantly illuminates a succession of lives that swirl around the majestic stone arches. Among them is that of the bridge's builder, a Serb kidnapped as a boy by the Ottomans; years later, as the empire's Grand Vezir, he decides to construct a bridge at the spot where he was parted from his mother. A workman named Radisav tries to hinder the construction, with horrific consequences. Later, the beautiful young Fata climbs the bridge's parapet to escape an arranged marriage, and, later still, an inveterate gambler named Milan risks everything on it in one final game with the devil. With humor and compassion, Ivo Andric chronicles the ordinary Catholics, Muslims, and Orthodox Christians whose lives are connected by the bridge, in a land that has itself been a bridge between East and West for centuries.",hairpin bridge,bridge
122,I Am Number Four: The Lost Files: Nine's Legacy,"Number Nine-when John frees him from his cell in the power of six, he's ferocious, reckless, and ready to fight back. But being held captive changes a person-even a Lorien. 

Before meeting John Smith, aka Number Four, before being held prisoner, Nine was hunting down Mogadorians in Chicago with his Cêpan, Sandor. What happened there would change Nine forever. . 

Now you can have an exclusive look at what Nine was like before his capture, and read about his dramatic escape from his point of view.",nine,nine
122,I Am Number Four: The Lost Files: Nine's Legacy,"Number Nine-when John frees him from his cell in the power of six, he's ferocious, reckless, and ready to fight back. But being held captive changes a person-even a Lorien. 

Before meeting John Smith, aka Number Four, before being held prisoner, Nine was hunting down Mogadorians in Chicago with his Cêpan, Sandor. What happened there would change Nine forever. . 

Now you can have an exclusive look at what Nine was like before his capture, and read about his dramatic escape from his point of view.",crone nine,nine
122,I Am Number Four: The Lost Files: Nine's Legacy,"Number Nine-when John frees him from his cell in the power of six, he's ferocious, reckless, and ready to fight back. But being held captive changes a person-even a Lorien. 

Before meeting John Smith, aka Number Four, before being held prisoner, Nine was hunting down Mogadorians in Chicago with his Cêpan, Sandor. What happened there would change Nine forever. . 

Now you can have an exclusive look at what Nine was like before his capture, and read about his dramatic escape from his point of view.",ward nine coronavirus,inside number 9
122,I Am Number Four: The Lost Files: Nine's Legacy,"Number Nine-when John frees him from his cell in the power of six, he's ferocious, reckless, and ready to fight back. But being held captive changes a person-even a Lorien. 

Before meeting John Smith, aka Number Four, before being held prisoner, Nine was hunting down Mogadorians in Chicago with his Cêpan, Sandor. What happened there would change Nine forever. . 

Now you can have an exclusive look at what Nine was like before his capture, and read about his dramatic escape from his point of view.",nine strauss,nine stranger
122,I Am Number Four: The Lost Files: Nine's Legacy,"Number Nine-when John frees him from his cell in the power of six, he's ferocious, reckless, and ready to fight back. But being held captive changes a person-even a Lorien. 

Before meeting John Smith, aka Number Four, before being held prisoner, Nine was hunting down Mogadorians in Chicago with his Cêpan, Sandor. What happened there would change Nine forever. . 

Now you can have an exclusive look at what Nine was like before his capture, and read about his dramatic escape from his point of view.",nine,ten
123,"Don't Laugh, It'll Only Encourage Her","<i>When things were really bad, Mum would always say to me:</i>
<i>
</i><i>'Don't worry, it will be a good read for your memoir one day.'</i>

<i>I suppose that's a weird way of coping, isn't it? Trying to turn the bleakest situation into a positive</i>.

Life hasn't always been straightforward for Daisy May Cooper: growing up in rural poverty in Gloucestershire with her brother Chaz, she had to work a myriad of low-paid, unrewarding jobs just to make ends meet. <i>Don't Laugh, It'll Only Encourage Her </i>is the endearingly honest and hilarious memoir from the creator and star of award-winning BBC comedy<i> This Country</i>.",nt goodbye,bad mother diary
123,"Don't Laugh, It'll Only Encourage Her","<i>When things were really bad, Mum would always say to me:</i>
<i>
</i><i>'Don't worry, it will be a good read for your memoir one day.'</i>

<i>I suppose that's a weird way of coping, isn't it? Trying to turn the bleakest situation into a positive</i>.

Life hasn't always been straightforward for Daisy May Cooper: growing up in rural poverty in Gloucestershire with her brother Chaz, she had to work a myriad of low-paid, unrewarding jobs just to make ends meet. <i>Don't Laugh, It'll Only Encourage Her </i>is the endearingly honest and hilarious memoir from the creator and star of award-winning BBC comedy<i> This Country</i>.",nt,mum story book
123,"Don't Laugh, It'll Only Encourage Her","<i>When things were really bad, Mum would always say to me:</i>
<i>
</i><i>'Don't worry, it will be a good read for your memoir one day.'</i>

<i>I suppose that's a weird way of coping, isn't it? Trying to turn the bleakest situation into a positive</i>.

Life hasn't always been straightforward for Daisy May Cooper: growing up in rural poverty in Gloucestershire with her brother Chaz, she had to work a myriad of low-paid, unrewarding jobs just to make ends meet. <i>Don't Laugh, It'll Only Encourage Her </i>is the endearingly honest and hilarious memoir from the creator and star of award-winning BBC comedy<i> This Country</i>.",nt,book mum
123,"Don't Laugh, It'll Only Encourage Her","<i>When things were really bad, Mum would always say to me:</i>
<i>
</i><i>'Don't worry, it will be a good read for your memoir one day.'</i>

<i>I suppose that's a weird way of coping, isn't it? Trying to turn the bleakest situation into a positive</i>.

Life hasn't always been straightforward for Daisy May Cooper: growing up in rural poverty in Gloucestershire with her brother Chaz, she had to work a myriad of low-paid, unrewarding jobs just to make ends meet. <i>Don't Laugh, It'll Only Encourage Her </i>is the endearingly honest and hilarious memoir from the creator and star of award-winning BBC comedy<i> This Country</i>.",nt worry darling,mother know bad
123,"Don't Laugh, It'll Only Encourage Her","<i>When things were really bad, Mum would always say to me:</i>
<i>
</i><i>'Don't worry, it will be a good read for your memoir one day.'</i>

<i>I suppose that's a weird way of coping, isn't it? Trying to turn the bleakest situation into a positive</i>.

Life hasn't always been straightforward for Daisy May Cooper: growing up in rural poverty in Gloucestershire with her brother Chaz, she had to work a myriad of low-paid, unrewarding jobs just to make ends meet. <i>Don't Laugh, It'll Only Encourage Her </i>is the endearingly honest and hilarious memoir from the creator and star of award-winning BBC comedy<i> This Country</i>.",nt laugh,good mother
124,Scourge of Rome,"<b>Bestselling author Douglas Jackson expertly brings the Roman Empire to life in this riveting historical adventure of fire, blood and battle. Perfect for fans of Simon Scarrow, Ben Kane and Conn Iggulden. </b>
<b><i>
</i><u>Readers are loving Gaius Valerius Verrens! </u></b>
<b><u>
</u>""Storytelling of the highest order"" - 5 STARS</b>
<b>""Glorious Roman adventure</b><b>."" - 5 STARS</b>
<b>""The drama never lets up - it is gripping</b><b>"" - 5 STARS</b><b></b>
<b>""I'm just gutted to have finished it!</b><b>"" - 5 STARS</b>
<b>""Verrens rules, ok?"" - 5 STARS</b>
<b>
************************************************************</b>
<b>
BETRAYED, BANISHED BUT NOT BROKEN...</b>
<b>
</b><b>70 AD</b>: Disgraced, dishonoured and banished on pain of execution if he ever returns to Rome, <b>Gaius Valerius Verrens</b> makes his way East through the death and destruction of the savage Judaean rebellion. He knows his only hope of long term survival lies with his friend <b>Titus</b>, commander of the Army of <b>Judaea</b> and son of the newly crowned <b>Emperor Vespasian</b>.

But when he reaches the Roman camps that surround the seemingly impregnable city of Jerusalem he finds Titus a changed man. Gone is the cheerful young officer he knew; in his place, a tough, ruthless soldier under pressure from his father to end the insurrection at any cost. 

Soon, Valerius finds himself at the centre of a web of intrigue spun by Titus' lover, <b>Queen Berenice of Cilicia</b>, and her sometime ally, the general's turncoat adviser, <b>Flavius Josephus</b>, who together have an ulterior motive for wanting the siege to end quickly.

Yet the laurels Valerius needs in order to regain his honour cannot be won in the tunnels that run beneath Jerusalem. <b>Only in the heat and blood of battle can he find the glory that brought him the title Hero of Rome.</b>
<b>
</b><b><i>Gaius Valerius Verrens' adventures continue in Saviour of Rome</i></b><b><i>.</i></b>",gaius valerius verrens,roman fiction
124,Scourge of Rome,"<b>Bestselling author Douglas Jackson expertly brings the Roman Empire to life in this riveting historical adventure of fire, blood and battle. Perfect for fans of Simon Scarrow, Ben Kane and Conn Iggulden. </b>
<b><i>
</i><u>Readers are loving Gaius Valerius Verrens! </u></b>
<b><u>
</u>""Storytelling of the highest order"" - 5 STARS</b>
<b>""Glorious Roman adventure</b><b>."" - 5 STARS</b>
<b>""The drama never lets up - it is gripping</b><b>"" - 5 STARS</b><b></b>
<b>""I'm just gutted to have finished it!</b><b>"" - 5 STARS</b>
<b>""Verrens rules, ok?"" - 5 STARS</b>
<b>
************************************************************</b>
<b>
BETRAYED, BANISHED BUT NOT BROKEN...</b>
<b>
</b><b>70 AD</b>: Disgraced, dishonoured and banished on pain of execution if he ever returns to Rome, <b>Gaius Valerius Verrens</b> makes his way East through the death and destruction of the savage Judaean rebellion. He knows his only hope of long term survival lies with his friend <b>Titus</b>, commander of the Army of <b>Judaea</b> and son of the newly crowned <b>Emperor Vespasian</b>.

But when he reaches the Roman camps that surround the seemingly impregnable city of Jerusalem he finds Titus a changed man. Gone is the cheerful young officer he knew; in his place, a tough, ruthless soldier under pressure from his father to end the insurrection at any cost. 

Soon, Valerius finds himself at the centre of a web of intrigue spun by Titus' lover, <b>Queen Berenice of Cilicia</b>, and her sometime ally, the general's turncoat adviser, <b>Flavius Josephus</b>, who together have an ulterior motive for wanting the siege to end quickly.

Yet the laurels Valerius needs in order to regain his honour cannot be won in the tunnels that run beneath Jerusalem. <b>Only in the heat and blood of battle can he find the glory that brought him the title Hero of Rome.</b>
<b>
</b><b><i>Gaius Valerius Verrens' adventures continue in Saviour of Rome</i></b><b><i>.</i></b>",mercenary rome,roman historical fiction
124,Scourge of Rome,"<b>Bestselling author Douglas Jackson expertly brings the Roman Empire to life in this riveting historical adventure of fire, blood and battle. Perfect for fans of Simon Scarrow, Ben Kane and Conn Iggulden. </b>
<b><i>
</i><u>Readers are loving Gaius Valerius Verrens! </u></b>
<b><u>
</u>""Storytelling of the highest order"" - 5 STARS</b>
<b>""Glorious Roman adventure</b><b>."" - 5 STARS</b>
<b>""The drama never lets up - it is gripping</b><b>"" - 5 STARS</b><b></b>
<b>""I'm just gutted to have finished it!</b><b>"" - 5 STARS</b>
<b>""Verrens rules, ok?"" - 5 STARS</b>
<b>
************************************************************</b>
<b>
BETRAYED, BANISHED BUT NOT BROKEN...</b>
<b>
</b><b>70 AD</b>: Disgraced, dishonoured and banished on pain of execution if he ever returns to Rome, <b>Gaius Valerius Verrens</b> makes his way East through the death and destruction of the savage Judaean rebellion. He knows his only hope of long term survival lies with his friend <b>Titus</b>, commander of the Army of <b>Judaea</b> and son of the newly crowned <b>Emperor Vespasian</b>.

But when he reaches the Roman camps that surround the seemingly impregnable city of Jerusalem he finds Titus a changed man. Gone is the cheerful young officer he knew; in his place, a tough, ruthless soldier under pressure from his father to end the insurrection at any cost. 

Soon, Valerius finds himself at the centre of a web of intrigue spun by Titus' lover, <b>Queen Berenice of Cilicia</b>, and her sometime ally, the general's turncoat adviser, <b>Flavius Josephus</b>, who together have an ulterior motive for wanting the siege to end quickly.

Yet the laurels Valerius needs in order to regain his honour cannot be won in the tunnels that run beneath Jerusalem. <b>Only in the heat and blood of battle can he find the glory that brought him the title Hero of Rome.</b>
<b>
</b><b><i>Gaius Valerius Verrens' adventures continue in Saviour of Rome</i></b><b><i>.</i></b>",nikki rome,roman empire book
124,Scourge of Rome,"<b>Bestselling author Douglas Jackson expertly brings the Roman Empire to life in this riveting historical adventure of fire, blood and battle. Perfect for fans of Simon Scarrow, Ben Kane and Conn Iggulden. </b>
<b><i>
</i><u>Readers are loving Gaius Valerius Verrens! </u></b>
<b><u>
</u>""Storytelling of the highest order"" - 5 STARS</b>
<b>""Glorious Roman adventure</b><b>."" - 5 STARS</b>
<b>""The drama never lets up - it is gripping</b><b>"" - 5 STARS</b><b></b>
<b>""I'm just gutted to have finished it!</b><b>"" - 5 STARS</b>
<b>""Verrens rules, ok?"" - 5 STARS</b>
<b>
************************************************************</b>
<b>
BETRAYED, BANISHED BUT NOT BROKEN...</b>
<b>
</b><b>70 AD</b>: Disgraced, dishonoured and banished on pain of execution if he ever returns to Rome, <b>Gaius Valerius Verrens</b> makes his way East through the death and destruction of the savage Judaean rebellion. He knows his only hope of long term survival lies with his friend <b>Titus</b>, commander of the Army of <b>Judaea</b> and son of the newly crowned <b>Emperor Vespasian</b>.

But when he reaches the Roman camps that surround the seemingly impregnable city of Jerusalem he finds Titus a changed man. Gone is the cheerful young officer he knew; in his place, a tough, ruthless soldier under pressure from his father to end the insurrection at any cost. 

Soon, Valerius finds himself at the centre of a web of intrigue spun by Titus' lover, <b>Queen Berenice of Cilicia</b>, and her sometime ally, the general's turncoat adviser, <b>Flavius Josephus</b>, who together have an ulterior motive for wanting the siege to end quickly.

Yet the laurels Valerius needs in order to regain his honour cannot be won in the tunnels that run beneath Jerusalem. <b>Only in the heat and blood of battle can he find the glory that brought him the title Hero of Rome.</b>
<b>
</b><b><i>Gaius Valerius Verrens' adventures continue in Saviour of Rome</i></b><b><i>.</i></b>",rome,rome guide book
124,Scourge of Rome,"<b>Bestselling author Douglas Jackson expertly brings the Roman Empire to life in this riveting historical adventure of fire, blood and battle. Perfect for fans of Simon Scarrow, Ben Kane and Conn Iggulden. </b>
<b><i>
</i><u>Readers are loving Gaius Valerius Verrens! </u></b>
<b><u>
</u>""Storytelling of the highest order"" - 5 STARS</b>
<b>""Glorious Roman adventure</b><b>."" - 5 STARS</b>
<b>""The drama never lets up - it is gripping</b><b>"" - 5 STARS</b><b></b>
<b>""I'm just gutted to have finished it!</b><b>"" - 5 STARS</b>
<b>""Verrens rules, ok?"" - 5 STARS</b>
<b>
************************************************************</b>
<b>
BETRAYED, BANISHED BUT NOT BROKEN...</b>
<b>
</b><b>70 AD</b>: Disgraced, dishonoured and banished on pain of execution if he ever returns to Rome, <b>Gaius Valerius Verrens</b> makes his way East through the death and destruction of the savage Judaean rebellion. He knows his only hope of long term survival lies with his friend <b>Titus</b>, commander of the Army of <b>Judaea</b> and son of the newly crowned <b>Emperor Vespasian</b>.

But when he reaches the Roman camps that surround the seemingly impregnable city of Jerusalem he finds Titus a changed man. Gone is the cheerful young officer he knew; in his place, a tough, ruthless soldier under pressure from his father to end the insurrection at any cost. 

Soon, Valerius finds himself at the centre of a web of intrigue spun by Titus' lover, <b>Queen Berenice of Cilicia</b>, and her sometime ally, the general's turncoat adviser, <b>Flavius Josephus</b>, who together have an ulterior motive for wanting the siege to end quickly.

Yet the laurels Valerius needs in order to regain his honour cannot be won in the tunnels that run beneath Jerusalem. <b>Only in the heat and blood of battle can he find the glory that brought him the title Hero of Rome.</b>
<b>
</b><b><i>Gaius Valerius Verrens' adventures continue in Saviour of Rome</i></b><b><i>.</i></b>",roman historical fiction,book fiction
125,The Gingerbread Man: Ladybird First Favourite Tales,"This eBook has been optimised for viewing on colour devices.
Based on the traditional fairy tale 'The Gingerbread Man', this vibrantly illustrated story is sure to become a favourite in every home. Follow the gingerbread man as he tries to escape all manner of hungry animals and people!  Part of the Ladybird 'First Favourite Tales' series - a perfect introduction to fairy tales for preschoolers - this story contains lots of funny rhythm and rhyme to delight young children. Ideal for reading aloud and sharing with 2-4 year olds.",gingerbread gamble,storybook christmas
125,The Gingerbread Man: Ladybird First Favourite Tales,"This eBook has been optimised for viewing on colour devices.
Based on the traditional fairy tale 'The Gingerbread Man', this vibrantly illustrated story is sure to become a favourite in every home. Follow the gingerbread man as he tries to escape all manner of hungry animals and people!  Part of the Ladybird 'First Favourite Tales' series - a perfect introduction to fairy tales for preschoolers - this story contains lots of funny rhythm and rhyme to delight young children. Ideal for reading aloud and sharing with 2-4 year olds.",usborne fairy tale,christmas childrens book
125,The Gingerbread Man: Ladybird First Favourite Tales,"This eBook has been optimised for viewing on colour devices.
Based on the traditional fairy tale 'The Gingerbread Man', this vibrantly illustrated story is sure to become a favourite in every home. Follow the gingerbread man as he tries to escape all manner of hungry animals and people!  Part of the Ladybird 'First Favourite Tales' series - a perfect introduction to fairy tales for preschoolers - this story contains lots of funny rhythm and rhyme to delight young children. Ideal for reading aloud and sharing with 2-4 year olds.",fairy tale karma,childrens story book
125,The Gingerbread Man: Ladybird First Favourite Tales,"This eBook has been optimised for viewing on colour devices.
Based on the traditional fairy tale 'The Gingerbread Man', this vibrantly illustrated story is sure to become a favourite in every home. Follow the gingerbread man as he tries to escape all manner of hungry animals and people!  Part of the Ladybird 'First Favourite Tales' series - a perfect introduction to fairy tales for preschoolers - this story contains lots of funny rhythm and rhyme to delight young children. Ideal for reading aloud and sharing with 2-4 year olds.",fairy tale,fairy book
125,The Gingerbread Man: Ladybird First Favourite Tales,"This eBook has been optimised for viewing on colour devices.
Based on the traditional fairy tale 'The Gingerbread Man', this vibrantly illustrated story is sure to become a favourite in every home. Follow the gingerbread man as he tries to escape all manner of hungry animals and people!  Part of the Ladybird 'First Favourite Tales' series - a perfect introduction to fairy tales for preschoolers - this story contains lots of funny rhythm and rhyme to delight young children. Ideal for reading aloud and sharing with 2-4 year olds.",traditional tale,childrens christmas book
126,Bury My Heart At Wounded Knee,"The American West, 1860-1890: years of broken promises, disillusionment, war and massacre.

Beginning with the Long Walk of the Navajos and ending with the massacre of Sioux at Wounded Knee, this extraordinary book tells how the American Indians lost their land, lives and liberty to white settlers pushing westward. Woven into a an engrossing saga of cruelty, treachery and violence are the fascinating stories of such legendary figures as Sitting Bull, Cochise, Crazy Horse and Geronimo.

First published in 1970, Dee Brown's brutal and compelling narrative changed the way people thought about the original inhabitants of America, and focused attention on a national disgrace.",tulsa massacre,american history book
126,Bury My Heart At Wounded Knee,"The American West, 1860-1890: years of broken promises, disillusionment, war and massacre.

Beginning with the Long Walk of the Navajos and ending with the massacre of Sioux at Wounded Knee, this extraordinary book tells how the American Indians lost their land, lives and liberty to white settlers pushing westward. Woven into a an engrossing saga of cruelty, treachery and violence are the fascinating stories of such legendary figures as Sitting Bull, Cochise, Crazy Horse and Geronimo.

First published in 1970, Dee Brown's brutal and compelling narrative changed the way people thought about the original inhabitants of America, and focused attention on a national disgrace.",massacre dream,native american romance
126,Bury My Heart At Wounded Knee,"The American West, 1860-1890: years of broken promises, disillusionment, war and massacre.

Beginning with the Long Walk of the Navajos and ending with the massacre of Sioux at Wounded Knee, this extraordinary book tells how the American Indians lost their land, lives and liberty to white settlers pushing westward. Woven into a an engrossing saga of cruelty, treachery and violence are the fascinating stories of such legendary figures as Sitting Bull, Cochise, Crazy Horse and Geronimo.

First published in 1970, Dee Brown's brutal and compelling narrative changed the way people thought about the original inhabitants of America, and focused attention on a national disgrace.",tulsa race massacre,western book
126,Bury My Heart At Wounded Knee,"The American West, 1860-1890: years of broken promises, disillusionment, war and massacre.

Beginning with the Long Walk of the Navajos and ending with the massacre of Sioux at Wounded Knee, this extraordinary book tells how the American Indians lost their land, lives and liberty to white settlers pushing westward. Woven into a an engrossing saga of cruelty, treachery and violence are the fascinating stories of such legendary figures as Sitting Bull, Cochise, Crazy Horse and Geronimo.

First published in 1970, Dee Brown's brutal and compelling narrative changed the way people thought about the original inhabitants of America, and focused attention on a national disgrace.",eton mess massacre,historical western romance
126,Bury My Heart At Wounded Knee,"The American West, 1860-1890: years of broken promises, disillusionment, war and massacre.

Beginning with the Long Walk of the Navajos and ending with the massacre of Sioux at Wounded Knee, this extraordinary book tells how the American Indians lost their land, lives and liberty to white settlers pushing westward. Woven into a an engrossing saga of cruelty, treachery and violence are the fascinating stories of such legendary figures as Sitting Bull, Cochise, Crazy Horse and Geronimo.

First published in 1970, Dee Brown's brutal and compelling narrative changed the way people thought about the original inhabitants of America, and focused attention on a national disgrace.",american history book,historical fiction book
127,SAS,"In the summer of 1941, at the height of the war in the Western Desert, a bored and eccentric young officer, David Stirling, came up with a plan that was radical and entirely against the rules: a small undercover unit that would inflict mayhem behind enemy lines. So began the most celebrated and mysterious military organisation in the world: the SAS.

Now, the SAS has finally decided to tell its astonishing story. It has opened its secret archives for the first time, granting historian Ben Macintyre full access to a treasure trove of unseen reports, memos, diaries, letters, maps and photographs, as well as free rein to interview surviving Originals and those who knew them.

The result is an exhilarating tale of fearlessness and heroism, recklessness and tragedy; of extraordinary men who were willing to take monumental risks. It is a story about the meaning of courage.",sas military book,war fiction
127,SAS,"In the summer of 1941, at the height of the war in the Western Desert, a bored and eccentric young officer, David Stirling, came up with a plan that was radical and entirely against the rules: a small undercover unit that would inflict mayhem behind enemy lines. So began the most celebrated and mysterious military organisation in the world: the SAS.

Now, the SAS has finally decided to tell its astonishing story. It has opened its secret archives for the first time, granting historian Ben Macintyre full access to a treasure trove of unseen reports, memos, diaries, letters, maps and photographs, as well as free rein to interview surviving Originals and those who knew them.

The result is an exhilarating tale of fearlessness and heroism, recklessness and tragedy; of extraordinary men who were willing to take monumental risks. It is a story about the meaning of courage.",swagger sas,war fiction book
127,SAS,"In the summer of 1941, at the height of the war in the Western Desert, a bored and eccentric young officer, David Stirling, came up with a plan that was radical and entirely against the rules: a small undercover unit that would inflict mayhem behind enemy lines. So began the most celebrated and mysterious military organisation in the world: the SAS.

Now, the SAS has finally decided to tell its astonishing story. It has opened its secret archives for the first time, granting historian Ben Macintyre full access to a treasure trove of unseen reports, memos, diaries, letters, maps and photographs, as well as free rein to interview surviving Originals and those who knew them.

The result is an exhilarating tale of fearlessness and heroism, recklessness and tragedy; of extraordinary men who were willing to take monumental risks. It is a story about the meaning of courage.",geezer sas,war book
127,SAS,"In the summer of 1941, at the height of the war in the Western Desert, a bored and eccentric young officer, David Stirling, came up with a plan that was radical and entirely against the rules: a small undercover unit that would inflict mayhem behind enemy lines. So began the most celebrated and mysterious military organisation in the world: the SAS.

Now, the SAS has finally decided to tell its astonishing story. It has opened its secret archives for the first time, granting historian Ben Macintyre full access to a treasure trove of unseen reports, memos, diaries, letters, maps and photographs, as well as free rein to interview surviving Originals and those who knew them.

The result is an exhilarating tale of fearlessness and heroism, recklessness and tragedy; of extraordinary men who were willing to take monumental risks. It is a story about the meaning of courage.",sas,military fiction
127,SAS,"In the summer of 1941, at the height of the war in the Western Desert, a bored and eccentric young officer, David Stirling, came up with a plan that was radical and entirely against the rules: a small undercover unit that would inflict mayhem behind enemy lines. So began the most celebrated and mysterious military organisation in the world: the SAS.

Now, the SAS has finally decided to tell its astonishing story. It has opened its secret archives for the first time, granting historian Ben Macintyre full access to a treasure trove of unseen reports, memos, diaries, letters, maps and photographs, as well as free rein to interview surviving Originals and those who knew them.

The result is an exhilarating tale of fearlessness and heroism, recklessness and tragedy; of extraordinary men who were willing to take monumental risks. It is a story about the meaning of courage.",world war,world war
128,Maigret's Doubts,"An unusually quiet day for Maigret at the Quai des Orfèvres is disturbed by a visit from mild-mannered toy salesman, Xavier Manton. Maigret is puzzled by Manton's admission that he suspects his wife of plotting to poison him and when he receives a visit from Mme Manton later that day he is not sure who to trust. Maigret heeds the advice of his seniors and investigates the couple and when a body is discovered everyone, including Maigret, is surprised.",maigret,maigret book
128,Maigret's Doubts,"An unusually quiet day for Maigret at the Quai des Orfèvres is disturbed by a visit from mild-mannered toy salesman, Xavier Manton. Maigret is puzzled by Manton's admission that he suspects his wife of plotting to poison him and when he receives a visit from Mme Manton later that day he is not sure who to trust. Maigret heeds the advice of his seniors and investigates the couple and when a body is discovered everyone, including Maigret, is surprised.",maigret book,maigret
128,Maigret's Doubts,"An unusually quiet day for Maigret at the Quai des Orfèvres is disturbed by a visit from mild-mannered toy salesman, Xavier Manton. Maigret is puzzled by Manton's admission that he suspects his wife of plotting to poison him and when he receives a visit from Mme Manton later that day he is not sure who to trust. Maigret heeds the advice of his seniors and investigates the couple and when a body is discovered everyone, including Maigret, is surprised.",maigret christmas,maisy book
128,Maigret's Doubts,"An unusually quiet day for Maigret at the Quai des Orfèvres is disturbed by a visit from mild-mannered toy salesman, Xavier Manton. Maigret is puzzled by Manton's admission that he suspects his wife of plotting to poison him and when he receives a visit from Mme Manton later that day he is not sure who to trust. Maigret heeds the advice of his seniors and investigates the couple and when a body is discovered everyone, including Maigret, is surprised.",simenon maigret,simenon maigret
128,Maigret's Doubts,"An unusually quiet day for Maigret at the Quai des Orfèvres is disturbed by a visit from mild-mannered toy salesman, Xavier Manton. Maigret is puzzled by Manton's admission that he suspects his wife of plotting to poison him and when he receives a visit from Mme Manton later that day he is not sure who to trust. Maigret heeds the advice of his seniors and investigates the couple and when a body is discovered everyone, including Maigret, is surprised.",vicious visit,maisie
129,You’ve Guac to be Joking! I love Avocados,"Avocadabra! Guaca-mole, Kiss My Hass! Let’s Avocuddle, Hugh Guacman …?! Pit-iful puns and avocado smash-ups with cute illustrations that celebrate our global avo-obsession. Bravocado!",kiss book,kiss giraffe
129,You’ve Guac to be Joking! I love Avocados,"Avocadabra! Guaca-mole, Kiss My Hass! Let’s Avocuddle, Hugh Guacman …?! Pit-iful puns and avocado smash-ups with cute illustrations that celebrate our global avo-obsession. Bravocado!",hugh fernleywhittingstall book,kiss theif
129,You’ve Guac to be Joking! I love Avocados,"Avocadabra! Guaca-mole, Kiss My Hass! Let’s Avocuddle, Hugh Guacman …?! Pit-iful puns and avocado smash-ups with cute illustrations that celebrate our global avo-obsession. Bravocado!",hugh bonneville book,tease mr moneybag
129,You’ve Guac to be Joking! I love Avocados,"Avocadabra! Guaca-mole, Kiss My Hass! Let’s Avocuddle, Hugh Guacman …?! Pit-iful puns and avocado smash-ups with cute illustrations that celebrate our global avo-obsession. Bravocado!",hugh fearnley book,josh widdicombe book
129,You’ve Guac to be Joking! I love Avocados,"Avocadabra! Guaca-mole, Kiss My Hass! Let’s Avocuddle, Hugh Guacman …?! Pit-iful puns and avocado smash-ups with cute illustrations that celebrate our global avo-obsession. Bravocado!",kiss tonight,tequila kiss
130,The Spymaster of Baghdad,"<i>The Spymaster of Baghdad</i> is the gripping story of the Falcons: the top-secret Iraqi intelligence unit that infiltrated the Islamic State. Against the backdrop of the most brutal conflict of recent decades, we chart the spymaster's struggle to develop the unit, follow the fraught relationship of two of his agents, the al-Sudani brothers - one undercover in ISIS, the other his handler - and track a disillusioned scientist as she turns bomb-maker. With unprecedented access to characters on all sides, Pulitzer Prize-finalist Margaret Coker challenges the conventional view that Western coalition forces defeated ISIS and reveals a page-turning story of unlikely heroes, unbelievable courage and good old-fashioned spycraft.",spymaster baghdad,spymaster baghdad
